@relation RFKON_BT_Train

@attribute 00:1A:7D:DA:71:09 numeric
@attribute 00:1A:7D:DA:71:0C numeric
@attribute 00:1A:7D:DA:71:0A numeric
@attribute 00:1A:7D:DA:71:0E numeric
@attribute 00:1A:7D:DA:71:06 numeric
@attribute 00:1A:7D:DA:71:10 numeric
@attribute 00:1A:7D:DA:71:05 numeric
@attribute REF_POINT {1,2,3,4,5,6,7,8,9,10,11,12,13,50,51,52,53,54}

@data
-52,100,100,-57,100,100,100,8
-57,-78,100,-58,100,100,100,8
-58,-80,100,100,-86,100,100,8
-56,100,100,-59,100,100,100,8
-63,100,-86,-70,100,100,100,8
100,100,100,-56,100,100,100,8
-59,100,100,-56,100,100,100,8
-57,100,100,100,100,100,100,8
-59,100,100,-55,100,100,100,8
100,100,100,100,100,100,100,8
100,100,100,-58,100,100,100,8
-51,100,100,-56,100,100,100,8
-73,-76,100,100,100,100,100,8
-51,100,100,-55,100,100,100,8
-59,-80,100,-59,100,100,100,8
-56,100,100,-56,-75,100,100,8
100,100,100,-54,100,100,100,8
-51,100,100,-55,-75,100,100,8
-75,100,100,-55,-79,100,100,8
-57,100,100,-58,100,100,100,8
-51,100,100,-58,100,100,100,8
100,-79,100,100,100,100,100,8
-51,100,100,-56,-73,100,100,8
-60,100,100,100,100,100,100,8
-57,100,100,-59,100,100,100,8
-69,-79,100,-55,100,100,100,8
-51,100,100,-68,100,100,100,8
-58,100,100,-59,100,100,100,8
-56,100,100,-60,100,100,100,8
-60,100,100,100,100,100,100,8
-56,100,100,100,100,100,100,8
-66,100,100,-59,100,100,100,8
100,100,100,-66,100,100,100,8
-51,-83,100,-55,100,100,100,8
-57,100,100,-56,100,100,100,8
-59,100,100,-59,100,100,100,8
-56,100,100,-62,100,100,100,10
-63,100,100,100,-82,100,100,10
-52,100,100,-56,100,100,100,10
-62,100,100,-66,100,100,100,10
-61,100,100,-56,100,100,100,10
-62,100,100,-60,100,100,100,10
-56,100,100,-57,100,100,100,10
-59,100,100,-56,-85,100,100,10
-52,100,100,-56,100,100,100,10
-62,-73,100,-56,100,100,100,10
-62,-73,100,-56,100,100,100,10
-56,-71,100,-56,100,100,100,10
-54,-74,100,-62,-90,100,100,10
100,100,100,-55,100,100,100,10
-53,-75,100,-71,-78,100,100,10
-60,100,100,-56,100,100,100,10
100,-70,100,-58,100,100,100,10
-52,100,100,-59,100,100,100,10
-56,100,100,100,100,100,100,10
-56,-73,-86,-56,-72,100,100,10
-55,100,100,-57,100,100,100,10
100,-88,100,-68,100,100,100,10
-61,-72,100,-57,100,100,100,10
-67,100,100,-58,100,100,100,10
-52,100,100,-56,-78,100,100,10
-68,100,100,-57,100,100,100,10
-53,100,-84,-66,100,100,100,10
100,-74,100,-56,100,100,100,10
-60,-80,100,-66,100,100,100,10
100,100,100,100,-85,100,100,10
100,100,100,-57,100,100,100,10
-66,-77,100,-57,-89,100,100,10
-62,100,100,100,100,100,100,10
-60,-80,100,-60,100,100,100,10
-52,-84,100,-69,100,100,100,10
-56,-76,100,-58,100,100,100,10
-56,100,100,-56,100,100,100,10
-67,-85,100,-66,100,100,100,10
-53,-75,100,-58,100,100,100,10
-57,-82,100,-63,100,100,100,10
-55,-81,100,100,-79,100,100,10
-56,100,100,-56,100,100,100,10
100,100,-90,-62,100,100,100,10
-63,-77,100,-56,100,100,100,10
-58,100,100,-54,100,100,100,10
-54,-70,100,-55,-80,100,100,10
-54,-78,100,-54,100,100,100,10
-60,-75,100,-71,100,100,100,10
-63,-70,100,-54,-84,100,100,10
-61,-71,100,-54,100,100,100,10
-63,-81,100,100,100,100,100,10
-55,-71,100,-55,100,100,100,10
-55,100,-89,-62,-81,100,100,10
-67,100,100,-57,100,100,100,10
-56,-70,100,-69,100,100,100,10
-58,-81,100,-57,-75,100,100,50
100,-82,100,-60,-81,100,100,50
-61,100,100,-61,100,100,100,50
100,-80,100,-59,-81,100,100,50
-66,100,100,-55,-79,100,100,50
-65,100,100,-58,100,100,100,50
-67,-79,100,-53,-83,100,100,50
-58,-79,100,-58,100,100,100,50
-55,100,100,100,100,100,100,50
100,-77,100,-57,100,100,100,50
-59,-77,100,-57,-88,100,100,50
-57,-80,100,-57,100,100,100,50
-64,-79,100,-63,-74,100,100,50
-57,100,100,-58,100,100,100,50
-59,100,100,-57,100,100,100,50
-60,-79,100,-59,100,100,100,50
-58,-79,100,-56,-79,100,100,50
-61,-79,100,-56,100,100,100,50
-59,-78,100,-55,100,100,100,50
100,-79,100,-55,100,100,100,50
-63,-78,100,-55,-79,100,100,50
-57,-81,100,-58,-72,100,100,50
-57,-80,100,-61,-74,100,100,50
-60,-76,100,-58,-80,100,100,50
-72,100,100,-58,100,100,100,50
-60,-82,100,-59,100,100,100,50
-65,-77,100,-58,100,100,100,50
-58,100,100,-59,100,100,100,50
-67,-86,100,-59,-73,100,100,50
-70,-78,100,-60,100,100,100,50
-57,-78,100,-59,100,100,100,50
-67,-74,100,-58,100,100,100,50
-58,100,100,-61,-78,100,100,50
-56,100,100,-61,100,100,100,50
-68,100,100,-57,-83,100,100,50
-59,-81,100,-63,100,100,100,50
-66,100,100,100,100,100,100,50
-57,-80,100,-59,-77,100,100,50
-64,-76,100,100,100,100,100,50
-67,100,100,-56,-94,100,100,50
-58,100,100,-56,-82,100,100,50
-66,-80,100,-58,100,100,100,50
100,-76,100,-61,100,100,100,50
-58,-78,100,-55,100,100,100,50
100,-80,100,-59,100,100,100,50
-59,100,100,-57,-82,100,100,50
-74,-83,100,-58,-75,100,100,50
-68,-76,100,-61,100,100,100,50
-67,-76,100,-57,-77,100,100,50
-74,-76,100,-58,100,100,100,50
-56,-75,100,-63,100,100,100,50
-57,100,100,-60,-75,100,100,50
-61,-80,100,-57,100,100,100,50
-59,-79,100,-60,100,100,100,50
-57,-79,100,-59,100,100,100,50
100,-80,100,-57,100,100,100,9
-54,-76,100,-78,100,100,100,9
-54,-74,100,-59,-83,100,100,9
-55,100,100,-80,-92,100,100,9
100,-80,100,-66,-92,100,100,9
-56,-73,100,-79,100,100,100,9
-58,-81,100,100,100,100,100,9
-54,-75,100,-58,-84,100,100,9
-56,-75,100,-57,100,100,100,9
-56,-77,100,-58,100,100,100,9
-55,-73,100,-58,-84,100,100,9
-60,100,100,-62,-89,100,100,9
-53,-75,100,-61,100,100,100,9
-57,-79,100,100,100,100,100,9
-59,100,100,-79,100,100,100,9
-56,100,100,-67,-78,100,100,9
-57,-75,100,-56,100,100,100,9
-53,-79,100,-67,100,100,100,9
-56,-75,100,-58,-78,100,100,9
-56,-76,100,-59,-75,100,100,9
-55,-73,100,-57,-91,100,100,9
-55,-74,100,-58,100,100,100,9
-63,-77,100,-57,100,100,100,9
100,-79,100,-58,-89,100,100,9
-55,-76,100,100,100,100,100,9
-53,100,100,-76,-77,100,100,9
-56,-77,100,100,100,100,100,9
-56,-78,100,100,100,100,100,9
-58,-73,100,-64,100,100,100,9
-60,-77,100,-62,100,100,100,9
-56,-83,100,100,100,100,100,9
-56,100,100,-69,100,100,100,9
-54,100,100,100,100,100,100,9
-55,-79,100,-58,100,100,100,9
100,-77,100,-59,100,100,100,9
-55,-75,100,100,100,100,100,9
-57,-77,100,-57,-74,100,100,9
-59,-79,100,-59,100,100,100,9
-58,100,-87,-58,100,100,100,9
-60,100,100,-61,100,100,100,9
-53,100,100,100,100,100,100,9
-55,-77,100,100,100,100,100,9
-56,100,100,100,-81,100,100,9
-56,100,100,100,-78,100,100,9
-55,-88,100,-64,-81,100,100,9
100,100,100,-64,100,100,100,9
-54,-78,100,-61,-82,100,100,9
-54,-77,100,-58,-80,100,100,9
-53,100,100,-56,100,100,100,9
-57,-80,100,-78,100,100,100,9
-59,-81,100,-62,100,100,100,9
-60,-79,100,-57,100,100,100,9
-57,-77,100,-60,-75,100,100,9
-60,100,100,100,100,100,100,9
-57,100,100,-57,100,100,100,9
-48,100,100,-63,100,100,100,54
-45,-79,100,-66,-93,100,100,54
-47,100,100,-65,100,100,100,54
-48,-75,100,-68,-93,100,100,54
-46,-75,100,-66,100,100,100,54
-42,100,100,-59,100,100,100,54
-41,-81,100,-64,-86,100,100,54
-49,100,100,100,100,100,100,54
-47,100,100,100,100,100,100,54
-48,100,100,-71,100,100,100,54
100,-80,100,-65,100,100,100,54
-49,-76,100,100,100,100,100,54
-49,-75,100,100,100,100,100,54
-47,-79,100,100,100,100,100,54
-47,-76,100,100,100,100,100,54
-48,-82,100,-71,100,100,100,54
100,-83,100,-61,100,100,100,54
-41,100,100,-65,-90,100,100,54
-42,-80,100,-64,-83,100,100,54
-45,100,100,-65,-87,100,100,54
-47,100,100,-71,100,100,100,54
-48,-79,100,-67,100,100,100,54
-45,-78,100,-63,100,100,100,54
-48,-76,100,-66,100,100,100,54
-47,100,100,-65,100,100,100,54
-47,-76,100,-64,100,100,100,54
-47,100,100,-58,100,100,100,54
100,-86,100,-60,100,100,100,54
-48,100,100,-64,100,100,100,54
-41,-78,100,-65,100,100,100,54
-47,100,100,-63,-84,100,100,54
-48,-80,100,-59,-89,100,100,54
-44,-89,100,100,100,100,100,54
-41,-85,100,-65,100,100,100,54
-48,-78,100,-66,100,100,100,54
-47,-78,100,-59,100,100,100,54
-47,-83,100,100,100,100,100,54
-49,-79,100,-77,-88,100,100,54
-48,100,100,100,100,100,100,54
-49,-79,100,-65,100,100,100,54
-42,100,100,100,-80,100,100,54
-47,100,100,-64,100,100,100,54
-49,-77,100,-69,100,100,100,54
-48,-85,100,-64,100,100,100,54
100,100,100,-62,100,100,100,54
-41,-82,100,-76,-86,100,100,54
-48,-77,100,100,-79,100,100,54
-48,-76,100,100,-87,100,100,54
-47,100,100,-64,-79,100,100,54
-48,-80,100,-62,100,100,100,54
-47,-78,100,-64,-91,100,100,54
-47,-87,100,100,-91,100,100,54
-48,-78,100,-63,-84,100,100,54
-48,-75,100,-70,-89,100,100,54
-47,100,100,-59,100,100,100,54
